"Prebivalstvo po starosti in spolu, obèine, Slovenija, polletno"

"SPOL","OBÈINE","2019H2"
"Spol - SKUPAJ","Ajdovšèina",19364
"Spol - SKUPAJ","Ankaran/Ancarano",3215
"Spol - SKUPAJ","Apaèe",3532
"Spol - SKUPAJ","Beltinci",8098
"Spol - SKUPAJ","Benedikt",2584
"Spol - SKUPAJ","Bistrica ob Sotli",1333
"Spol - SKUPAJ","Bled",7846
"Spol - SKUPAJ","Bloke",1567
"Spol - SKUPAJ","Bohinj",5118
"Spol - SKUPAJ","Borovnica",4547
"Spol - SKUPAJ","Bovec",3074
"Spol - SKUPAJ","Braslovèe",5584
"Spol - SKUPAJ","Brda",5632
"Spol - SKUPAJ","Brezovica",12527
"Spol - SKUPAJ","Brežice",24157
"Spol - SKUPAJ","Cankova",1724
"Spol - SKUPAJ","Celje",49602
"Spol - SKUPAJ","Cerklje na Gorenjskem",7712
"Spol - SKUPAJ","Cerknica",11625
"Spol - SKUPAJ","Cerkno",4577
"Spol - SKUPAJ","Cerkvenjak",2080
"Spol - SKUPAJ","Cirkulane",2362
"Spol - SKUPAJ","Èrenšovci",3958
"Spol - SKUPAJ","Èrna na Koroškem",3281
"Spol - SKUPAJ","Èrnomelj",14307
"Spol - SKUPAJ","Destrnik",2617
"Spol - SKUPAJ","Divaèa",4195
"Spol - SKUPAJ","Dobje",965
"Spol - SKUPAJ","Dobrepolje",3838
"Spol - SKUPAJ","Dobrna",2240
"Spol - SKUPAJ","Dobrova - Polhov Gradec",7752
"Spol - SKUPAJ","Dobrovnik/Dobronak",1287
"Spol - SKUPAJ","Dol pri Ljubljani",6295
"Spol - SKUPAJ","Dolenjske Toplice",3525
"Spol - SKUPAJ","Domžale",36429
"Spol - SKUPAJ","Dornava",2894
"Spol - SKUPAJ","Dravograd",8849
"Spol - SKUPAJ","Duplek",6955
"Spol - SKUPAJ","Gorenja vas - Poljane",7560
"Spol - SKUPAJ","Gorišnica",4097
"Spol - SKUPAJ","Gorje",2751
"Spol - SKUPAJ","Gornja Radgona",8401
"Spol - SKUPAJ","Gornji Grad",2506
"Spol - SKUPAJ","Gornji Petrovci",1992
"Spol - SKUPAJ","Grad",2063
"Spol - SKUPAJ","Grosuplje",21265
"Spol - SKUPAJ","Hajdina",3850
"Spol - SKUPAJ","Hoèe - Slivnica",11848
"Spol - SKUPAJ","Hodoš/Hodos",358
"Spol - SKUPAJ","Horjul",3032
"Spol - SKUPAJ","Hrastnik",9140
"Spol - SKUPAJ","Hrpelje - Kozina",4534
"Spol - SKUPAJ","Idrija",11797
"Spol - SKUPAJ","Ig",7577
"Spol - SKUPAJ","Ilirska Bistrica",13290
"Spol - SKUPAJ","Ivanèna Gorica",16880
"Spol - SKUPAJ","Izola/Isola",16367
"Spol - SKUPAJ","Jesenice",21168
"Spol - SKUPAJ","Jezersko",635
"Spol - SKUPAJ","Juršinci",2367
"Spol - SKUPAJ","Kamnik",29847
"Spol - SKUPAJ","Kanal",5304
"Spol - SKUPAJ","Kidrièevo",6497
"Spol - SKUPAJ","Kobarid",4078
"Spol - SKUPAJ","Kobilje",545
"Spol - SKUPAJ","Koèevje",15688
"Spol - SKUPAJ","Komen",3546
"Spol - SKUPAJ","Komenda",6345
"Spol - SKUPAJ","Koper/Capodistria",52540
"Spol - SKUPAJ","Kostanjevica na Krki",2445
"Spol - SKUPAJ","Kostel",643
"Spol - SKUPAJ","Kozje",3053
"Spol - SKUPAJ","Kranj",56715
"Spol - SKUPAJ","Kranjska Gora",5206
"Spol - SKUPAJ","Križevci",3545
"Spol - SKUPAJ","Krško",26117
"Spol - SKUPAJ","Kungota",4734
"Spol - SKUPAJ","Kuzma",1574
"Spol - SKUPAJ","Laško",13023
"Spol - SKUPAJ","Lenart",8443
"Spol - SKUPAJ","Lendava/Lendva",10464
"Spol - SKUPAJ","Litija",15429
"Spol - SKUPAJ","Ljubljana",294113
"Spol - SKUPAJ","Ljubno",2547
"Spol - SKUPAJ","Ljutomer",11265
"Spol - SKUPAJ","Log - Dragomer",3654
"Spol - SKUPAJ","Logatec",14232
"Spol - SKUPAJ","Loška dolina",3797
"Spol - SKUPAJ","Loški Potok",1810
"Spol - SKUPAJ","Lovrenc na Pohorju",2974
"Spol - SKUPAJ","Luèe",1452
"Spol - SKUPAJ","Lukovica",5882
"Spol - SKUPAJ","Majšperk",4067
"Spol - SKUPAJ","Makole",2025
"Spol - SKUPAJ","Maribor",112095
"Spol - SKUPAJ","Markovci",4000
"Spol - SKUPAJ","Medvode",16651
"Spol - SKUPAJ","Mengeš",8150
"Spol - SKUPAJ","Metlika",8397
"Spol - SKUPAJ","Mežica",3559
"Spol - SKUPAJ","Miklavž na Dravskem polju",6828
"Spol - SKUPAJ","Miren - Kostanjevica",4976
"Spol - SKUPAJ","Mirna",2622
"Spol - SKUPAJ","Mirna Peè",2987
"Spol - SKUPAJ","Mislinja",4561
"Spol - SKUPAJ","Mokronog - Trebelno",3080
"Spol - SKUPAJ","Moravèe",5435
"Spol - SKUPAJ","Moravske Toplice",5853
"Spol - SKUPAJ","Mozirje",4133
"Spol - SKUPAJ","Murska Sobota",18742
"Spol - SKUPAJ","Muta",3407
"Spol - SKUPAJ","Naklo",5402
"Spol - SKUPAJ","Nazarje",2608
"Spol - SKUPAJ","Nova Gorica",31932
"Spol - SKUPAJ","Novo mesto",37280
"Spol - SKUPAJ","Odranci",1644
"Spol - SKUPAJ","Oplotnica",4130
"Spol - SKUPAJ","Ormož",11968
"Spol - SKUPAJ","Osilnica",366
"Spol - SKUPAJ","Pesnica",7360
"Spol - SKUPAJ","Piran/Pirano",17692
"Spol - SKUPAJ","Pivka",6176
"Spol - SKUPAJ","Podèetrtek",3434
"Spol - SKUPAJ","Podlehnik",1790
"Spol - SKUPAJ","Podvelka",2344
"Spol - SKUPAJ","Poljèane",4459
"Spol - SKUPAJ","Polzela",6224
"Spol - SKUPAJ","Postojna",16363
"Spol - SKUPAJ","Prebold",5125
"Spol - SKUPAJ","Preddvor",3697
"Spol - SKUPAJ","Prevalje",6812
"Spol - SKUPAJ","Ptuj",23443
"Spol - SKUPAJ","Puconci",5892
"Spol - SKUPAJ","Raèe - Fram",7433
"Spol - SKUPAJ","Radeèe",4169
"Spol - SKUPAJ","Radenci",5107
"Spol - SKUPAJ","Radlje ob Dravi",6183
"Spol - SKUPAJ","Radovljica",19053
"Spol - SKUPAJ","Ravne na Koroškem",11315
"Spol - SKUPAJ","Razkrižje",1269
"Spol - SKUPAJ","Reèica ob Savinji",2333
"Spol - SKUPAJ","Renèe - Vogrsko",4366
"Spol - SKUPAJ","Ribnica",9513
"Spol - SKUPAJ","Ribnica na Pohorju",1125
"Spol - SKUPAJ","Rogaška Slatina",11129
"Spol - SKUPAJ","Rogašovci",3070
"Spol - SKUPAJ","Rogatec",3094
"Spol - SKUPAJ","Ruše",7038
"Spol - SKUPAJ","Selnica ob Dravi",4479
"Spol - SKUPAJ","Semiè",3838
"Spol - SKUPAJ","Sevnica",17586
"Spol - SKUPAJ","Sežana",13524
"Spol - SKUPAJ","Slovenj Gradec",16599
"Spol - SKUPAJ","Slovenska Bistrica",25690
"Spol - SKUPAJ","Slovenske Konjice",14993
"Spol - SKUPAJ","Sodražica",2191
"Spol - SKUPAJ","Solèava",517
"Spol - SKUPAJ","Središèe ob Dravi",1951
"Spol - SKUPAJ","Starše",4011
"Spol - SKUPAJ","Straža",3912
"Spol - SKUPAJ","Sveta Ana",2297
"Spol - SKUPAJ","Sveta Trojica v Slov. goricah",2083
"Spol - SKUPAJ","Sveti Andraž v Slov. goricah",1187
"Spol - SKUPAJ","Sveti Jurij ob Šèavnici",2788
"Spol - SKUPAJ","Sveti Jurij v Slov. goricah",2083
"Spol - SKUPAJ","Sveti Tomaž",1998
"Spol - SKUPAJ","Šalovci",1383
"Spol - SKUPAJ","Šempeter - Vrtojba",6243
"Spol - SKUPAJ","Šenèur",8756
"Spol - SKUPAJ","Šentilj",8391
"Spol - SKUPAJ","Šentjernej",7157
"Spol - SKUPAJ","Šentjur",19186
"Spol - SKUPAJ","Šentrupert",2978
"Spol - SKUPAJ","Škocjan",3328
"Spol - SKUPAJ","Škofja Loka",23216
"Spol - SKUPAJ","Škofljica",11419
"Spol - SKUPAJ","Šmarje pri Jelšah",10278
"Spol - SKUPAJ","Šmarješke Toplice",3400
"Spol - SKUPAJ","Šmartno ob Paki",3271
"Spol - SKUPAJ","Šmartno pri Litiji",5629
"Spol - SKUPAJ","Šoštanj",8735
"Spol - SKUPAJ","Štore",4576
"Spol - SKUPAJ","Tabor",1659
"Spol - SKUPAJ","Tišina",3970
"Spol - SKUPAJ","Tolmin",11031
"Spol - SKUPAJ","Trbovlje",16037
"Spol - SKUPAJ","Trebnje",13018
"Spol - SKUPAJ","Trnovska vas",1350
"Spol - SKUPAJ","Trzin",3923
"Spol - SKUPAJ","Tržiè",14884
"Spol - SKUPAJ","Turnišèe",3170
"Spol - SKUPAJ","Velenje",33506
"Spol - SKUPAJ","Velika Polana",1412
"Spol - SKUPAJ","Velike Lašèe",4383
"Spol - SKUPAJ","Veržej",1290
"Spol - SKUPAJ","Videm",5587
"Spol - SKUPAJ","Vipava",5634
"Spol - SKUPAJ","Vitanje",2256
"Spol - SKUPAJ","Vodice",4964
"Spol - SKUPAJ","Vojnik",8846
"Spol - SKUPAJ","Vransko",2620
"Spol - SKUPAJ","Vrhnika",17452
"Spol - SKUPAJ","Vuzenica",2648
"Spol - SKUPAJ","Zagorje ob Savi",16453
"Spol - SKUPAJ","Zavrè",1533
"Spol - SKUPAJ","Zreèe",6505
"Spol - SKUPAJ","Žalec",21425
"Spol - SKUPAJ","Železniki",6699
"Spol - SKUPAJ","Žetale",1297
"Spol - SKUPAJ","Žiri",4915
"Spol - SKUPAJ","Žirovnica",4384
"Spol - SKUPAJ","Žužemberk",4648
